10,5,0
10,10,0
10,15,14
10,20,33
10,25,0
10,30,84
10,35,27
10,40,259
10,45,269
10,50,28
10,55,262
10,60,203
10,65,301
10,70,237
10,75,236
10,80,114
10,85,226
10,90,268
10,95,152
11,5,0
11,10,0
11,15,0
11,20,67
11,25,87
11,30,47
11,35,0
11,40,14
11,45,53
11,50,0
11,55,0
11,60,0
11,65,0
11,70,16
11,75,45
11,80,79
11,85,0
11,90,28
11,95,42
12,5,0
12,10,0
12,15,24
12,20,0
12,25,0
12,30,0
12,35,58
12,40,0
12,45,0
12,50,0
12,55,0
12,60,0
12,65,0
12,70,0
12,75,0
12,80,0
12,85,0
12,90,0
12,95,0
13,5,0
13,10,0
13,15,0
13,20,0
13,25,34
13,30,0
13,35,0
13,40,23
13,45,22
13,50,0
13,55,20
13,60,0
13,65,0
13,70,0
13,75,0
13,80,20
13,85,20
13,90,23
13,95,20
14,5,0
14,10,76
14,15,0
14,20,0
14,25,59
14,30,0
14,35,17
14,40,0
14,45,0
14,50,0
14,55,9
14,60,0
14,65,0
14,70,0
14,75,0
14,80,0
14,85,0
14,90,15
14,95,0
15,5,0
15,10,0
15,15,177
15,20,97
15,25,0
15,30,243
15,35,237
15,40,356
15,45,204
15,50,231
15,55,0
15,60,207
15,65,221
15,70,314
15,75,325
15,80,313
15,85,309
15,90,270
15,95,247
16,5,0
16,10,0
16,15,0
16,20,0
16,25,0
16,30,0
16,35,20
16,40,25
16,45,0
16,50,7
16,55,0
16,60,31
16,65,14
16,70,34
16,75,70
16,80,34
16,85,6
16,90,41
16,95,103
17,5,0
17,10,0
17,15,0
17,20,0
17,25,0
17,30,1
17,35,1
17,40,3
17,45,0
17,50,0
17,55,0
17,60,1
17,65,0
17,70,1
17,75,0
17,80,0
17,85,0
17,90,0
17,95,0
18,5,0
18,10,0
18,15,0
18,20,0
18,25,153
18,30,223
18,35,56
18,40,148
18,45,135
18,50,147
18,55,395
18,60,281
18,65,195
18,70,217
18,75,144
18,80,29
18,85,201
18,90,141
18,95,156
19,5,0
19,10,0
19,15,0
19,20,0
19,25,1
19,30,0
19,35,1
19,40,1
19,45,1
19,50,7
19,55,1
19,60,1
19,65,4
19,70,1
19,75,0
19,80,3
19,85,2
19,90,0
19,95,8
20,5,0
20,10,8
20,15,0
20,20,1
20,25,29
20,30,2
20,35,15
20,40,0
20,45,0
20,50,1
20,55,1
20,60,1
20,65,0
20,70,0
20,75,0
20,80,1
20,85,0
20,90,0
20,95,0
